filepath,kanji,meaning
../kanji_images/kanji_亜.png,亜,"Asia, rank next, come after, -ous"
../kanji_images/kanji_唖.png,唖,"mute, dumb"
../kanji_images/kanji_娃.png,娃,beautiful
../kanji_images/kanji_阿.png,阿,"Africa, flatter, fawn upon, corner, nook, recess"
../kanji_images/kanji_哀.png,哀,"pathetic, grief, sorrow, pathos, pity, sympathize"
../kanji_images/kanji_愛.png,愛,"love, affection, favourite"
../kanji_images/kanji_挨.png,挨,"approach, draw near, push open"
../kanji_images/kanji_姶.png,姶,"good-looking, quiet"
../kanji_images/kanji_逢.png,逢,"meeting, tryst, date, rendezvous"
../kanji_images/kanji_葵.png,葵,hollyhock
../kanji_images/kanji_茜.png,茜,"madder, red dye, Turkey red"
../kanji_images/kanji_穐.png,穐,autumn
../kanji_images/kanji_悪.png,悪,"bad, vice, rascal, false, evil, wrong"
../kanji_images/kanji_握.png,握,"grip, hold, mould sushi, bribe"
../kanji_images/kanji_渥.png,渥,"kindness, moisten"
../kanji_images/kanji_旭.png,旭,"rising sun, morning sun"
../kanji_images/kanji_葦.png,葦,"reed, bullrush"
../kanji_images/kanji_芦.png,芦,"reed, bullrush"
../kanji_images/kanji_鯵.png,鯵,horse mackerel
../kanji_images/kanji_梓.png,梓,"catalpa tree, woodblock printing"
../kanji_images/kanji_圧.png,圧,"pressure, push, overwhelm, oppress, dominate"
../kanji_images/kanji_斡.png,斡,"go around, rule, administer"
../kanji_images/kanji_扱.png,扱,"handle, entertain, thresh, strip"
../kanji_images/kanji_宛.png,宛,"address, just like, fortunately"
../kanji_images/kanji_姐.png,姐,"elder sister, maidservant"
../kanji_images/kanji_虻.png,虻,"gadfly, horsefly"
../kanji_images/kanji_飴.png,飴,"rice jelly, candy"
../kanji_images/kanji_絢.png,絢,brilliant fabric design
../kanji_images/kanji_綾.png,綾,"design, figured cloth, twill"
../kanji_images/kanji_鮎.png,鮎,"freshwater trout, smelt"
../kanji_images/kanji_或.png,或,"some, one, or, possibly, a certain"
../kanji_images/kanji_粟.png,粟,millet
../kanji_images/kanji_袷.png,袷,lined (kimono)
../kanji_images/kanji_安.png,安,"relax, cheap, low, quiet, rested, contented, peaceful"
../kanji_images/kanji_庵.png,庵,"hermitage, retreat"
../kanji_images/kanji_按.png,按,"hold, consider, investigate"
../kanji_images/kanji_暗.png,暗,"darkness, disappear, shade, informal, grow dark, be blinded"
../kanji_images/kanji_案.png,案,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench"
../kanji_images/kanji_闇.png,闇,"get dark, gloom, disorder"
../kanji_images/kanji_鞍.png,鞍,saddle
../kanji_images/kanji_杏.png,杏,apricot
../kanji_images/kanji_以.png,以,"by means of, because, in view of, compared with"
../kanji_images/kanji_伊.png,伊,"Italy, that one"
../kanji_images/kanji_位.png,位,"rank, grade, throne, crown, about, some"
../kanji_images/kanji_依.png,依,"reliant, depend on, consequently, therefore, due to"
../kanji_images/kanji_偉.png,偉,"admirable, greatness, remarkable, conceited, famous, excellent"
../kanji_images/kanji_囲.png,囲,"surround, besiege, store, paling, enclosure, encircle, preserve, keep"
../kanji_images/kanji_夷.png,夷,"barbarian, savage, Ainu"
../kanji_images/kanji_委.png,委,"committee, entrust to, leave to, devote, discard"
../kanji_images/kanji_威.png,威,"intimidate, dignity, majesty, menace, threaten"
../kanji_images/kanji_尉.png,尉,"military officer, jailer, old man, rank"
../kanji_images/kanji_惟.png,惟,"consider, reflect, think"
../kanji_images/kanji_意.png,意,"idea, mind, heart, taste, thought, desire, care, liking"
../kanji_images/kanji_慰.png,慰,"consolation, amusement, seduce, cheer, make sport of, comfort, console"
../kanji_images/kanji_易.png,易,"easy, ready to, simple, fortune-telling, divination"
../kanji_images/kanji_椅.png,椅,chair
../kanji_images/kanji_為.png,為,"do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of"
../kanji_images/kanji_畏.png,畏,"fear, majestic, graciously, be apprehensive"
../kanji_images/kanji_異.png,異,"uncommon, different, queerness, strangeness, wonderful, curious, unusual"
../kanji_images/kanji_移.png,移,"shift, move, change, drift, catch (cold, fire), pass into"
../kanji_images/kanji_維.png,維,"fiber, tie, rope"
../kanji_images/kanji_緯.png,緯,"horizontal, woof, left & right, (parallels of) latitude, prediction"
../kanji_images/kanji_胃.png,胃,"stomach, paunch, crop, craw"
../kanji_images/kanji_萎.png,萎,"wither, droop, lame"
../kanji_images/kanji_衣.png,衣,"garment, clothes, dressing"
../kanji_images/kanji_謂.png,謂,"reason, origin, history, oral tradition"
../kanji_images/kanji_違.png,違,"difference, differ"
../kanji_images/kanji_遺.png,遺,"bequeath, leave behind, reserve"
