filename,text
../kanji_images/kanji_亜.png,"Asia, rank next, come after, -ous"
../kanji_images/kanji_唖.png,"mute, dumb"
../kanji_images/kanji_娃.png,beautiful
../kanji_images/kanji_阿.png,"Africa, flatter, fawn upon, corner, nook, recess"
../kanji_images/kanji_哀.png,"pathetic, grief, sorrow, pathos, pity, sympathize"
../kanji_images/kanji_愛.png,"love, affection, favourite"
../kanji_images/kanji_挨.png,"approach, draw near, push open"
../kanji_images/kanji_姶.png,"good-looking, quiet"
../kanji_images/kanji_逢.png,"meeting, tryst, date, rendezvous"
../kanji_images/kanji_葵.png,hollyhock
../kanji_images/kanji_茜.png,"madder, red dye, Turkey red"
../kanji_images/kanji_穐.png,autumn
../kanji_images/kanji_悪.png,"bad, vice, rascal, false, evil, wrong"
../kanji_images/kanji_握.png,"grip, hold, mould sushi, bribe"
../kanji_images/kanji_渥.png,"kindness, moisten"
../kanji_images/kanji_旭.png,"rising sun, morning sun"
../kanji_images/kanji_葦.png,"reed, bullrush"
../kanji_images/kanji_芦.png,"reed, bullrush"
../kanji_images/kanji_鯵.png,horse mackerel
../kanji_images/kanji_梓.png,"catalpa tree, woodblock printing"
../kanji_images/kanji_圧.png,"pressure, push, overwhelm, oppress, dominate"
../kanji_images/kanji_斡.png,"go around, rule, administer"
../kanji_images/kanji_扱.png,"handle, entertain, thresh, strip"
../kanji_images/kanji_宛.png,"address, just like, fortunately"
../kanji_images/kanji_姐.png,"elder sister, maidservant"
../kanji_images/kanji_虻.png,"gadfly, horsefly"
../kanji_images/kanji_飴.png,"rice jelly, candy"
../kanji_images/kanji_絢.png,brilliant fabric design
../kanji_images/kanji_綾.png,"design, figured cloth, twill"
../kanji_images/kanji_鮎.png,"freshwater trout, smelt"
../kanji_images/kanji_或.png,"some, one, or, possibly, a certain"
../kanji_images/kanji_粟.png,millet
../kanji_images/kanji_袷.png,lined (kimono)
../kanji_images/kanji_安.png,"relax, cheap, low, quiet, rested, contented, peaceful"
../kanji_images/kanji_庵.png,"hermitage, retreat"
../kanji_images/kanji_按.png,"hold, consider, investigate"
../kanji_images/kanji_暗.png,"darkness, disappear, shade, informal, grow dark, be blinded"
../kanji_images/kanji_案.png,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench"
../kanji_images/kanji_闇.png,"get dark, gloom, disorder"
../kanji_images/kanji_鞍.png,saddle
../kanji_images/kanji_杏.png,apricot
../kanji_images/kanji_以.png,"by means of, because, in view of, compared with"
../kanji_images/kanji_伊.png,"Italy, that one"
../kanji_images/kanji_位.png,"rank, grade, throne, crown, about, some"
../kanji_images/kanji_依.png,"reliant, depend on, consequently, therefore, due to"
../kanji_images/kanji_偉.png,"admirable, greatness, remarkable, conceited, famous, excellent"
../kanji_images/kanji_囲.png,"surround, besiege, store, paling, enclosure, encircle, preserve, keep"
../kanji_images/kanji_夷.png,"barbarian, savage, Ainu"
../kanji_images/kanji_委.png,"committee, entrust to, leave to, devote, discard"
../kanji_images/kanji_威.png,"intimidate, dignity, majesty, menace, threaten"
../kanji_images/kanji_尉.png,"military officer, jailer, old man, rank"
../kanji_images/kanji_惟.png,"consider, reflect, think"
../kanji_images/kanji_意.png,"idea, mind, heart, taste, thought, desire, care, liking"
../kanji_images/kanji_慰.png,"consolation, amusement, seduce, cheer, make sport of, comfort, console"
../kanji_images/kanji_易.png,"easy, ready to, simple, fortune-telling, divination"
../kanji_images/kanji_椅.png,chair
../kanji_images/kanji_為.png,"do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of"
../kanji_images/kanji_畏.png,"fear, majestic, graciously, be apprehensive"
../kanji_images/kanji_異.png,"uncommon, different, queerness, strangeness, wonderful, curious, unusual"
../kanji_images/kanji_移.png,"shift, move, change, drift, catch (cold, fire), pass into"
../kanji_images/kanji_維.png,"fiber, tie, rope"
../kanji_images/kanji_緯.png,"horizontal, woof, left & right, (parallels of) latitude, prediction"
../kanji_images/kanji_胃.png,"stomach, paunch, crop, craw"
